HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
40155578,40155864,40017702,0.56,1738.9,1584.3,0.75,439634.8,0,1588.179,8,2,3,4121227050.0,0.005892556509912683,50,11,61,0.18032786885245902,True,2.0,Perennial_connected
40155871,40155203,40017702,2.82,1594.9,1728.2,5.82,459603.0,0,1711.73,8,2,3,4120237100.0,0.029462782549472977,45,22,67,0.3283582089552239,True,2.0,Perennial_connected
40155723,40155196,40017702,8.05,1679.5,1643.6,47.31,444311.9,0,1618.725,8,2,3,4120236910.0,0.09857022603948204,74,32,106,0.3018867924528302,False,1.0,Intermittent_ratio
40155462,40155338,40017702,0.56,1767.7,1555.4,0.45,438848.2,0,1583.93,8,2,3,4120235090.0,0.005892556509912683,44,13,57,0.22807017543859648,True,2.0,Perennial_connected
40155583,40155076,40017702,4.51,1639.8,1683.3,15.82,458535.1,0,1703.759,8,2,3,4121227200.0,0.05273689270627392,61,20,81,0.24691358024691357,True,2.0,Perennial_connected
40155466,40155868,40017702,1.77,1674.2,1648.9,4.48,444971.9,0,1623.156,8,2,3,4121226970.0,0.020118446353177815,50,17,67,0.2537313432835821,True,2.0,Perennial_connected
40155340,40157473,40017702,1.85,1633.7,1689.4,2.69,458628.0,0,1704.443,8,2,3,4121227200.0,0.02255922317638706,39,19,58,0.3275862068965517,True,2.0,Perennial_connected
40155198,40155199,40017702,1.93,1676.9,1646.2,7.46,444859.4,0,1622.164,8,2,3,4121226970.0,0.025000000000034106,54,15,69,0.21739130434782608,True,2.0,Perennial_connected
40155196,40155198,40017702,0.64,1678.9,1644.3,1.94,444824.5,0,1621.66,8,2,3,4121226970.0,0.008333333333382598,46,13,59,0.22033898305084745,True,2.0,Perennial_connected
40155199,40155466,40017702,0.97,1676.0,1647.2,8.8,444947.1,0,1622.812,8,2,3,4121226970.0,0.012499999999988631,46,14,60,0.23333333333333334,True,2.0,Perennial_connected
40158497,40158383,40017702,1.21,1352.5,513.0,2.09,71125.8,0,499.092,6,2,4,4120239450.0,0.014225889843318826,71,0,71,0.0,False,1.0,Intermittent_ratio
40158383,40157478,40017702,15.24,1337.3,528.2,70.37,71208.5,0,502.08,6,2,4,4120239450.0,0.16410323462868825,124,10,134,0.07462686567164178,True,2.0,Perennial_connected
40157478,40156553,40017702,3.55,1333.6,531.9,8.36,71333.3,0,503.333,6,2,4,4120236600.0,0.034344336196400316,73,4,77,0.05194805194805195,True,2.0,Perennial_connected
40156553,40156154,40017702,1.59,1332.1,533.4,5.37,71387.2,0,503.872,6,2,4,4120236600.0,0.015951779686458098,54,3,57,0.05263157894736842,True,2.0,Perennial_connected
40156154,40154851,40017702,9.51,1322.5,543.0,31.49,71451.6,0,505.948,6,2,4,4120236600.0,0.10273689270608147,80,19,99,0.1919191919191919,False,1.0,Intermittent_ratio
