catchment_id,downstream_id,basin_id,longitude,latitude,river_width,river_depth,river_length,catchment_area,upstream_area,is_river_mouth,segment_sample_cells,segment_water_cells,segment_perennial_cells,segment_water_ratio,segment_dominant_component_id,segment_component_ids,downstream_in_raster,flow_status_row,flow_status_col,point_flow_status,point_component_id,nearest_water_row,nearest_water_col,nearest_water_lon,nearest_water_lat,nearest_water_component_id,nearest_water_status,nearest_water_distance_km,match_confidence
4658801,4660600,45635,78.89958190917969,49.8970832824707,13.416375,0.0,7008.623,68821072.0,11733384192.0,0,147,14,13,0.09523809523809523,27306,27306,True,1224,1078,0,0,1223,1086,78.96362500000001,49.906125,27306,1,4.695724265866949,medium
4694802,4694801,45635,80.81124877929688,49.82374954223633,25.606823,0.0,14268.861,86566440.0,10272471040.0,0,52,10,0,0.19230769230769232,27530,27530;27624,True,1233,1310,1,27530,1233,1310,80.811625,49.823625,27530,1,0.03033439533186352,medium
4782997,4784797,45635,85.7995834350586,50.22541809082031,54.8946,0.0,9629.941,121957128.0,10739075072.0,0,111,35,2,0.3153153153153153,11,11;26595,True,1184,1915,1,11,1184,1915,85.802875,50.227875,11,1,0.35981083282734505,high
4934106,4932306,45635,94.10791778564453,59.30458450317383,111.49347,0.0,10206.604,34107924.0,11698291712.0,0,99,19,16,0.1919191919191919,20,20,True,84,2922,2,20,84,2922,94.110625,59.302875,20,2,0.24443497343038015,medium
5020599,5018800,45635,98.85041809082031,49.969581604003906,35.782513,0.0,4844.3096,56963068.0,11589059584.0,0,78,23,20,0.2948717948717949,26291,26291,True,1215,3497,0,0,1215,3496,98.846125,49.972125,26291,2,0.4174363010881655,high
5025985,5024185,45635,99.2004165649414,51.43541717529297,62.890205,0.0,9998.177,88173648.0,11569943552.0,0,85,25,25,0.29411764705882354,22638,22638,True,1038,3539,2,22638,1038,3539,99.200875,51.432375,22638,2,0.3397643876676262,high
5042171,5040370,45635,100.11958312988281,52.89958190917969,79.98628,0.0,5913.382,80882448.0,12555385856.0,0,58,12,12,0.20689655172413793,20,20,True,860,3650,2,20,860,3650,100.116625,52.900875,20,2,0.24503364114428663,high
5070995,5072795,45635,101.7995834350586,50.4595832824707,54.94419,0.0,6248.715,84321552.0,12825369600.0,0,93,23,15,0.24731182795698925,20,20,True,1156,3854,0,0,1156,3853,101.791375,50.458875,20,2,0.586386548777706,high
5108821,5110620,45635,103.89958190917969,47.89875030517578,11.25,0.0,5209.9365,76990320.0,10442011648.0,0,114,0,0,0.0,0,,True,1466,4109,0,0,1462,4129,104.068375,47.934375,32075,2,13.188162675374526,low
4511329,4509529,45635,70.60208129882812,37.088748931884766,38.66635,0.0,13796.14,78564520.0,12980710400.0,0,69,12,7,0.17391304347826086,52080,52080,True,2777,72,2,52080,2777,72,70.598125,37.085625,52080,2,0.4937784601685598,medium
4547178,4548978,45635,72.71375274658203,52.14458465576172,97.05701,0.0,10893.283,64192764.0,12920152064.0,0,97,31,20,0.31958762886597936,20920,20862;20920;20958,True,952,328,2,20920,952,328,72.710125,52.141875,20920,2,0.38995550359032105,high
4550891,4549091,45635,72.8004150390625,40.85541534423828,40.317436,0.0,15359.431,155058560.0,14975520768.0,0,129,11,0,0.08527131782945736,45440,45357;45440;45477;45478;45500,True,2320,339,0,0,2322,333,72.751375,40.839375000000004,45500,1,4.494051250639003,medium
4694801,4693001,45635,80.79042053222656,49.847084045410156,23.130133,0.0,4020.6392,100668984.0,10373139456.0,0,75,7,0,0.09333333333333334,27530,27447;27491;27530,True,1230,1307,1,27530,1230,1307,80.786875,49.848375,27530,1,0.2919465132585366,medium
4784797,4786597,45635,85.91874694824219,50.194583892822266,42.272858,0.0,14200.943,83928240.0,11420194816.0,0,50,15,1,0.3,11,11;26595,True,1188,1929,1,11,1188,1929,85.918375,50.194874999999996,11,1,0.0418190562024338,high
4874787,4876587,45635,90.89958190917969,51.26625061035156,76.88089,0.0,8385.511,108163032.0,13705521152.0,0,131,27,8,0.20610687022900764,22860,22860,True,1058,2533,2,22860,1058,2533,90.901375,51.267375,22860,2,0.17662080404110536,high
4856749,4858548,45635,89.91374969482422,55.10124969482422,51.424366,0.0,12907.485,70417552.0,10128219136.0,0,109,24,7,0.22018348623853212,12111,12086;12111,True,593,2413,1,12111,593,2413,89.91137499999999,55.103625,12111,1,0.30427327817890804,high
4932306,4930506,45635,93.99874877929688,59.3095817565918,48.515087,0.0,12436.432,44825872.0,11825108992.0,0,49,11,11,0.22448979591836735,20,20,True,83,2908,2,20,83,2908,93.995125,59.311125,20,2,0.2678478765499535,high
5018800,5018801,45635,98.83541870117188,49.90041732788086,56.12381,0.0,12417.623,53471328.0,11737903104.0,0,85,22,20,0.25882352941176473,26291,26291,True,1224,3495,2,26291,1224,3495,98.837875,49.897875,26291,2,0.3329684697640336,high
5008012,5009812,45635,98.31791687011719,48.743751525878906,39.69559,0.0,7704.687,83354304.0,11023253504.0,0,83,18,0,0.21686746987951808,30077,30077,True,1364,3432,1,30077,1364,3432,98.31812500000001,48.742875,30077,1,0.09865294839302538,high
5024185,5022385,45635,99.0995864868164,51.43375015258789,63.352997,0.0,8583.964,67823088.0,11704323072.0,0,115,27,22,0.23478260869565218,22638,22638,True,1038,3527,2,22638,1038,3527,99.101875,51.432375,22638,2,0.22033992113476153,high
5040370,5042170,45635,100.1370849609375,52.94041442871094,80.8424,0.0,6879.588,73739576.0,12722139136.0,0,106,31,29,0.29245283018867924,20,20,True,855,3652,2,20,855,3652,100.133125,52.942125,20,2,0.326485503666049,high
5076422,5078222,45635,102.0995864868164,47.74958419799805,32.600098,0.0,11347.762,116036152.0,11112054784.0,0,104,14,0,0.1346153846153846,32495,32494;32495;32496;32497;32513,True,1484,3890,1,32494,1484,3890,102.096625,47.752875,32494,1,0.4276905890673195,medium
5072795,5074595,45635,101.89958190917969,50.438751220703125,60.688187,0.0,13761.897,64246436.0,13107679232.0,0,71,16,13,0.22535211267605634,20,20,True,1158,3866,2,20,1158,3866,101.89862500000001,50.442375,20,2,0.40860503590527925,high
5110620,5112420,45635,104.0112533569336,47.952083587646484,5.0960135,0.0,13151.913,71357192.0,10850422784.0,0,80,0,0,0.0,0,,True,1460,4122,0,0,1462,4129,104.068375,47.934375,32075,2,4.688318188194587,medium
5204201,5202401,45635,109.08457946777344,49.88541793823242,64.38608,0.0,17827.312,95331264.0,12514832384.0,0,73,19,19,0.2602739726027397,20,20,True,1226,4737,0,0,1226,4736,109.076125,49.881375,20,2,0.7543392189931343,high
4509529,4507728,45635,70.52958679199219,37.096248626708984,44.068176,0.0,10890.755,108204168.0,13188996096.0,0,64,14,11,0.21875,52080,52080,True,2776,64,2,52080,2776,64,70.532125,37.093875,52080,2,0.34690317965873363,high
4548978,4550778,45635,72.80958557128906,52.16875076293945,19.457405,0.0,8308.259,66500784.0,12986652672.0,0,71,6,0,0.08450704225352113,20862,20777;20862,True,949,340,0,0,949,341,72.817375,52.166624999999996,20862,1,0.5814658711766506,medium
4559712,4557912,45635,73.3004150390625,58.782081604003906,51.446957,0.0,14199.639,77511656.0,10517287936.0,0,114,41,0,0.35964912280701755,2556,2556,True,147,400,1,2556,147,400,73.304125,58.783125,2556,1,0.24325877747894137,high
4549091,4547291,45635,72.63541412353516,40.860416412353516,40.34005,0.0,16853.225,71387480.0,15046908928.0,0,45,10,0,0.2222222222222222,45357,45357;45440,True,2319,319,0,0,2319,318,72.627625,40.864125,45357,1,0.7740253094828862,high
4577802,4577801,45635,74.38541412353516,49.80125045776367,14.38869,0.0,9060.204,29906548.0,11120130048.0,0,146,12,0,0.0821917808219178,27550,27443;27487;27550;27728,True,1236,531,0,0,1237,531,74.384875,49.790625,27728,1,1.182132172144407,medium
4693001,4693000,45635,80.74874877929688,49.89958190917969,41.647575,0.0,8026.5176,49311276.0,10505831424.0,0,110,5,0,0.045454545454545456,27142,27142;27447,True,1224,1302,0,0,1225,1303,80.753875,49.889624999999995,27447,1,1.1664631788365356,medium
4786597,4786598,45635,85.95958709716797,50.193748474121094,107.52908,0.0,3820.8088,92772720.0,11625842688.0,0,54,15,8,0.2777777777777778,11,11,True,1188,1934,2,11,1188,1934,85.959625,50.194874999999996,11,2,0.12529319040856418,high
4876587,4878386,45635,91.04624938964844,51.30208206176758,27.449999,0.0,15561.577,54266968.0,13853942784.0,0,59,12,2,0.2033898305084746,22860,22860,True,1054,2551,1,22860,1054,2551,91.049875,51.300375,22860,1,0.3155386078711349,high
4813596,4811796,45635,87.4004135131836,50.35124969482422,59.614647,0.0,9326.587,147377712.0,10211952640.0,0,89,15,8,0.16853932584269662,26053,26052;26053;26102,True,1169,2109,0,0,1169,2108,87.39512500000001,50.351625,26053,1,0.37753888492294024,medium
4858548,4860348,45635,90.04374694824219,55.11541748046875,50.838757,0.0,12052.483,83207912.0,10211427328.0,0,89,23,2,0.25842696629213485,8743,8743;12086,True,592,2429,2,12086,592,2429,90.043375,55.111875,12086,2,0.39461604148278046,high
4930506,4928706,45635,93.96458435058594,59.3004150390625,80.934204,0.0,2941.9758,82720424.0,11907829760.0,0,134,38,35,0.2835820895522388,20,20,True,84,2904,2,20,84,2904,93.962125,59.302875,20,2,0.3071037577217362,high
5018801,5020601,45635,98.90458679199219,49.85625076293945,38.7623,0.0,10578.437,46412480.0,11831409664.0,0,68,19,13,0.27941176470588236,26291,26291,True,1229,3503,2,26291,1229,3503,98.903875,49.856625,26291,2,0.06584390121814368,high
5009812,5011613,45635,98.39875030517578,48.72458267211914,39.04103,0.0,9435.417,90915264.0,11114168320.0,0,50,11,0,0.22,30077,30077,True,1366,3442,1,30077,1366,3442,98.400625,48.726375,30077,1,0.24213491522771347,high
5022385,5020585,45635,98.98458099365234,51.471248626708984,71.0538,0.0,10961.84,74217680.0,13956228096.0,0,79,15,13,0.189873417721519,22638,22638,True,1033,3513,2,22638,1033,3513,98.98637500000001,51.473625,22638,2,0.2919985843127619,medium
5042170,5043969,45635,100.21041870117188,53.020416259765625,81.00533,0.0,18331.2,72089944.0,12794228736.0,0,133,37,36,0.2781954887218045,20,20,True,846,3661,1,20,846,3661,100.207375,53.016375,20,1,0.4933380192640987,high
5040398,5040399,45635,100.04374694824219,50.10041809082031,13.406726,0.0,20016.1,116804024.0,10110728192.0,0,93,10,0,0.10752688172043011,26983,26784;26830;26851;26983;27028,True,1199,3641,0,0,1198,3641,100.04237499999999,50.112375,26784,1,1.3331447696998047,medium
5078222,5080022,45635,102.22374725341797,47.742916107177734,11.25,0.0,12359.387,81924648.0,11270661120.0,0,75,11,0,0.14666666666666667,32498,32449;32497;32498;32513,True,1485,3905,0,0,1485,3906,102.228625,47.744625,32513,1,0.41125489014017247,medium
5074595,5074596,45635,101.92958068847656,50.39208221435547,60.184467,0.0,7661.3867,39521156.0,13147200512.0,0,77,20,14,0.2597402597402597,20,20,True,1164,3870,0,0,1164,3869,101.923375,50.392875000000004,20,2,0.4486646284138889,high
5112420,5112419,45635,104.0512466430664,48.00541687011719,5.197448,0.0,8408.304,98699248.0,11123438592.0,0,85,0,0,0.0,0,,True,1453,4127,0,0,1462,4129,104.068375,47.934375,32075,2,8.001764806314295,low
5112340,5114139,45635,104.12208557128906,55.96041488647461,50.410496,0.0,17521.457,91780248.0,10876220416.0,0,82,19,18,0.23170731707317074,20,20,True,489,4136,0,0,489,4135,104.117875,55.961625,20,2,0.2946005096780374,high
5202401,5202400,45635,109.02124786376953,49.89958190917969,59.65756,0.0,6157.9233,119259128.0,12735129600.0,0,61,16,16,0.26229508196721313,20,20,True,1224,4729,2,20,1224,4729,109.01837499999999,49.897875,20,2,0.27993775179538016,high
4507728,4509528,45635,70.52124786376953,37.15458297729492,60.062515,0.0,8726.015,114400928.0,13303397376.0,0,71,17,7,0.23943661971830985,52080,52080,True,2769,63,1,52080,2769,63,70.523875,37.151624999999996,52080,1,0.4029807467949469,high
4550778,4550777,45635,72.85541534423828,52.1995849609375,42.398014,0.0,5865.2866,86542824.0,13193026560.0,0,89,11,0,0.12359550561797752,20638,20454;20638;20777;20804;20862,True,945,346,0,0,944,346,72.858625,52.207875,20777,1,0.9474059350910362,medium
4529212,4527413,45635,71.53958129882812,48.66958236694336,19.291592,0.0,5283.0347,79060328.0,12804156416.0,0,50,0,0,0.0,0,,True,1373,186,0,0,1372,190,71.571625,48.676874999999995,30258,1,2.4887190441592164,medium
4572518,4570718,45635,73.98041534423828,38.16875076293945,42.413204,0.0,15403.785,107295912.0,13526614016.0,0,101,21,1,0.2079207920792079,50193,50193;50309,True,2646,482,1,50193,2646,482,73.980625,38.166375,50193,1,0.2648082154708958,high
4552605,4550805,45635,72.85708618164062,49.44708251953125,49.268658,0.0,6095.1685,73349552.0,10471524352.0,0,80,41,28,0.5125,28348,28348,True,1279,346,1,28348,1279,346,72.858625,49.444125,28348,1,0.34716927750422283,high
4557912,4556112,45635,73.16542053222656,58.777915954589844,32.306057,0.0,14600.1875,69135280.0,10693633024.0,0,75,24,0,0.32,2589,2556;2589,True,148,383,1,2556,148,383,73.163875,58.774875,2556,1,0.34967770229118966,high
4547291,4545491,45635,72.60041809082031,40.867916107177734,40.438915,0.0,3822.8472,319739776.0,15366648832.0,0,150,26,0,0.17333333333333334,45357,45336;45355;45356;45357,True,2319,315,1,45357,2319,315,72.602875,40.864125,45357,1,0.46945821260572895,medium
4577801,4576001,45635,74.24458312988281,49.873748779296875,14.55615,0.0,22531.56,73364192.0,11335479296.0,0,58,8,0,0.13793103448275862,27443,27443,True,1227,514,0,0,1226,513,74.236375,49.881375,27443,1,1.0320086352686129,medium
