catchment_id,downstream_id,basin_id,src_lon,src_lat,dst_lon,dst_lat,src_upstream_area_km2,dst_upstream_area_km2,src_nearest_water_distance_km,dst_nearest_water_distance_km,src_point_flow_status,dst_point_flow_status,src_nearest_component_id,dst_nearest_component_id,segment_water_ratio,segment_water_cells,segment_perennial_cells,segment_dominant_component_id,same_nearest_component,src_or_dst_component_on_segment,edge_quality,binary_edge_quality
4536586,4538387,47784,72.0929183959961,31.300416946411133,72.14041900634766,31.18458366394043,85290.909696,85337.202688,0.2625021769970249,0.2584513962866301,1,1,53339,53339,0.4705882352941176,56,17,53339,True,True,good,good
4705843,4707643,47784,81.49958038330078,25.62208366394043,81.56041717529297,25.57958221435547,92571.475968,92666.10176,1.2300072054222857,0.3594129395596719,0,1,74978,74978,0.4,34,0,74978,True,True,good,good
4747238,4749038,47784,83.8495864868164,26.187084197998047,83.89958190917969,26.123748779296875,122146.299904,122615.31648,0.1983735793767921,0.3603308723700635,1,1,74978,74978,0.5393258426966292,48,6,74978,True,True,good,good
4592388,4590588,47784,75.10041809082031,31.138750076293945,74.97541809082031,31.152915954589844,58002.194432,58037.121024,0.2598006307064916,0.3458101598586581,1,1,67780,67780,0.3703703703703703,40,1,67780,True,True,good,good
4604947,4604946,47784,75.85791778564453,35.311248779296875,75.8004150390625,35.35041809082031,130912.13312,131101.81888,0.4180412000281881,0.4348142989366242,0,1,53339,53339,0.2375,19,9,53339,True,True,good,good
4846206,4848005,47784,89.2995834350586,29.380416870117188,89.3629150390625,29.36541748046875,105646.6944,105810.90304,0.1292840754383404,0.4324273624809313,1,1,76578,76578,0.547945205479452,40,2,76578,True,True,good,good
4684240,4686040,47784,80.32958221435547,25.893749237060547,80.39958190917969,25.91374969482422,300502.286336,301713.293312,0.6020792811615151,0.1596088038913821,0,2,74978,74978,0.3506493506493506,27,6,74978,True,True,good,good
4538387,4538388,47784,72.14041900634766,31.18458366394043,72.16041564941406,31.10041618347168,85337.202688,95947.1616,0.2584513962866301,0.5268659579716574,1,1,53339,53339,0.5662650602409639,47,19,53339,True,True,good,good
4707643,4707644,47784,81.56041717529297,25.57958221435547,81.64791870117188,25.55541610717773,92666.10176,92999.835648,0.3594129395596719,0.4766072260194892,1,1,74978,74978,0.3333333333333333,29,0,74978,True,True,good,good
4749038,4750838,47784,83.89958190917969,26.123748779296875,83.99958038330078,26.11124992370605,122615.31648,122787.233792,0.3603308723700635,0.4031139284168785,1,1,74978,74978,0.651685393258427,58,8,74978,True,True,good,good
4590588,4588788,47784,74.97541809082031,31.152915954589844,74.9004135131836,31.136249542236328,58037.121024,77566.091264,0.3458101598586581,0.4042283635112172,1,1,67780,67780,0.4337349397590361,36,2,67780,True,True,good,good
4604946,4603146,47784,75.8004150390625,35.35041809082031,75.68458557128906,35.31791687011719,131101.81888,131255.574528,0.4348142989366242,0.4224843031233277,1,2,53339,53339,0.2072072072072072,23,11,53339,True,True,good,good
4848005,4848006,47784,89.3629150390625,29.36541748046875,89.39958190917969,29.359582901000977,105810.90304,106004.873216,0.4324273624809313,0.4503581196221393,1,1,76578,76578,0.5777777777777777,26,1,76578,True,True,good,good
4686040,4689641,47784,80.39958190917969,25.91374969482422,80.50041961669922,25.834583282470703,301713.293312,304708.419584,0.1596088038913821,0.3164733094311909,2,2,74978,74978,0.24,30,7,74978,True,True,good,good
4538388,4538389,47784,72.16041564941406,31.10041618347168,72.0879135131836,31.04208374023437,95947.1616,95983.0016,0.5268659579716574,0.5280402207460512,1,1,53339,53339,0.4123711340206185,40,6,53339,True,True,good,good
4707644,4709444,47784,81.64791870117188,25.55541610717773,81.70458221435547,25.515417098999023,92999.835648,93113.278464,0.4766072260194892,0.4566902736076613,1,1,74978,74978,0.5,38,0,74978,True,True,good,good
4750838,4752638,47784,83.99958038330078,26.11124992370605,84.1187515258789,26.076250076293945,122787.233792,126299.693056,0.4031139284168785,0.4452431267874884,1,1,74978,74978,0.7241379310344828,84,4,74978,True,True,good,good
4588788,4586988,47784,74.9004135131836,31.136249542236328,74.8004150390625,31.132083892822266,77566.091264,78888.255488,0.4042283635112172,0.6556448139337813,1,0,67780,67780,0.2022471910112359,18,0,67780,True,True,good,good
4603146,4601346,47784,75.68458557128906,35.31791687011719,75.60208129882812,35.32791519165039,131255.574528,138341.5808,0.4224843031233277,0.3479375257038644,2,1,53339,53339,0.4683544303797468,37,9,53339,True,True,good,good
4848006,4849806,47784,89.39958190917969,29.359582901000977,89.49958038330078,29.33874893188477,106004.873216,106546.716672,0.4503581196221393,0.0697970728527229,1,1,76578,76578,0.5567010309278351,54,2,76578,True,True,good,good
4689641,4687841,47784,80.50041961669922,25.834583282470703,80.55374908447266,25.78208351135254,304708.419584,333545.96352,0.3164733094311909,0.2423230391697268,2,2,74978,74978,0.3452380952380952,29,14,74978,True,True,good,good
4538389,4536589,47784,72.0879135131836,31.04208374023437,72.07791900634766,30.987916946411133,95983.0016,96058.597376,0.5280402207460512,1.0818520585490066,1,0,53339,53339,0.4285714285714285,27,1,53339,True,True,good,good
4709444,4711244,47784,81.70458221435547,25.515417098999023,81.73124694824219,25.500415802001957,93113.278464,93274.07104,0.4566902736076613,0.4597297164184014,1,1,74978,74978,0.5208333333333334,25,0,74978,True,True,good,good
4752638,4754439,47784,84.1187515258789,26.076250076293945,84.1995849609375,26.00458335876465,126299.693056,127134.302208,0.4452431267874884,0.3136448098758477,1,1,74978,74978,0.8648648648648649,96,1,74978,True,True,good,good
4586988,4585188,47784,74.8004150390625,31.132083892822266,74.7245864868164,31.09958267211914,78888.255488,78932.688896,0.6556448139337813,0.4088839345250193,0,1,67780,67780,0.2325581395348837,20,0,67780,True,True,good,good
4601346,4599546,47784,75.60208129882812,35.32791519165039,75.50791931152344,35.39958190917969,138341.5808,138961.010688,0.3479375257038644,0.3513659664898643,1,1,53339,53339,0.512396694214876,62,9,53339,True,True,good,good
4849806,4851606,47784,89.49958038330078,29.33874893188477,89.60458374023438,29.356250762939453,106546.716672,106896.842752,0.0697970728527229,0.1783130104264558,1,1,76578,76578,0.5306122448979592,52,0,76578,True,True,good,good
4687841,4689642,47784,80.55374908447266,25.78208351135254,80.5995864868164,25.71208381652832,333545.96352,333673.168896,0.2423230391697268,0.6123992670846846,2,0,74978,74978,0.3666666666666666,33,15,74978,True,True,good,good
4536589,4536590,47784,72.07791900634766,30.987916946411133,71.98291778564453,30.90541648864746,96058.597376,96149.05344,1.0818520585490066,0.818918286497537,0,0,53339,53339,0.4166666666666667,50,2,53339,True,True,good,good
4711244,4711245,47784,81.73124694824219,25.500415802001957,81.83625030517578,25.49708366394043,93274.07104,93421.387776,0.4597297164184014,0.3425283815826259,1,1,74978,74978,0.5425531914893617,51,0,74978,True,True,good,good
