catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,is_river_mouth,flow_status_row,flow_status_col,point_flow_status,nearest_water_distance_km,match_class
5339148,5337348,55556,116.60041809082031,55.16875076293945,77146.177536,0,585,5648,2,0.0989769452928933,on perennial
5427311,5429110,55556,121.5995864868164,58.89458465576172,106586.955776,0,133,6254,2,0.44927184847201246,on perennial
5558714,5560514,55556,128.8995819091797,58.533748626708984,107462.295552,0,177,7139,2,0.22173207662237812,on perennial
5670307,5668506,55556,135.02125549316406,59.30791473388672,156438.822912,0,83,7881,2,0.3625761477519532,on perennial
5171727,5173527,55556,107.41041564941406,57.26541519165039,87988.174848,0,331,4534,2,0.05745730625348253,on perennial
5337348,5337347,55556,116.53541564941406,55.1995849609375,77180.665856,0,581,5640,2,0.3478180311949409,on perennial
5429110,5430910,55556,121.7004165649414,58.96291732788086,109000.384512,0,125,6266,2,0.21588336584917314,on perennial
5560514,5562314,55556,129.00958251953125,58.536251068115234,107494.342656,0,177,7152,2,0.1095559738729171,on perennial
5668506,5670306,55556,135.05624389648438,59.32291793823242,157436.755968,0,82,7885,2,0.3970295917605981,on perennial
5173527,5173526,55556,107.43458557128906,57.31458282470703,88319.991808,0,325,4537,2,0.013486094688971443,on perennial
5337347,5335547,55556,116.50041961669922,55.217918395996094,77282.893824,0,579,5636,2,0.14143238586869167,on perennial
5430910,5430909,55556,121.70458221435547,58.99958419799805,109067.476992,0,121,6267,0,0.40480237752017695,near water
5562314,5564115,55556,129.10458374023438,58.50041580200195,107526.455296,0,181,7164,2,0.28660449652262276,on perennial
5670306,5670305,55556,135.09957885742188,59.389583587646484,157530.243072,0,73,7890,2,0.47949524388804754,on perennial
5173526,5175326,55556,107.55208587646484,57.342918395996094,88381.923328,0,322,4551,2,0.4157427311276426,on perennial
5335547,5335546,55556,116.47208404541016,55.31291580200195,77923.385344,0,568,5632,2,0.42082878265960283,on perennial
5430909,5432709,55556,121.7995834350586,59.0412483215332,109496.64768,0,116,6278,2,0.2866957761920149,on perennial
5564115,5565915,55556,129.23374938964844,58.4879150390625,107968.241664,0,183,7179,2,0.2598613711518492,on perennial
5670305,5670304,55556,135.07374572753906,59.5220832824707,157918.609408,0,57,7887,2,0.40770817127669656,on perennial
5175326,5175325,55556,107.53624725341797,57.39958190917969,88624.324608,0,315,4549,2,0.3228744331093196,on perennial
5335546,5333746,55556,116.4004135131836,55.341251373291016,78272.331776,0,564,5624,2,0.21049201836734543,on perennial
5432709,5432708,55556,121.82125091552734,59.10708236694336,110327.02976,0,108,6281,2,0.253699953739639,on perennial
5565915,5565914,55556,129.25457763671875,58.52124786376953,108930.514944,0,179,7182,1,0.24376042001899917,on intermittent
5670304,5670303,55556,135.02374267578125,59.61125183105469,157978.984448,0,47,7881,2,0.35609840520770103,on perennial
5175325,5177125,55556,107.64458465576172,57.42708206176758,88678.309888,0,311,4562,2,0.4131243376229624,on perennial
5333746,5331946,55556,116.26625061035156,55.36541748046875,78325.121024,0,561,5608,2,0.3466996735126185,on perennial
5432708,5430908,55556,121.77958679199219,59.16291809082031,110592.876544,0,101,6276,2,0.09353704858914365,on perennial
5565914,5567714,55556,129.32708740234375,58.55291748046875,109470.932992,0,175,7191,2,0.1841653618615472,on perennial
5670303,5668502,55556,134.9754180908203,59.717918395996094,158760.419328,0,34,7875,2,0.3167297399850284,on perennial
5177125,5178925,55556,107.6995849609375,57.45124816894531,88754.3808,0,308,4569,2,0.40972989453569375,on perennial
5331946,5330146,55556,116.2004165649414,55.35874938964844,95915.58144,0,562,5600,1,0.24450327252411588,on intermittent
5430908,5429106,55556,121.70208740234375,59.2095832824707,111028.215808,0,95,6266,2,0.34455225681479834,on perennial
5567714,5569514,55556,129.42459106445312,58.54708480834961,109562.830848,0,176,7202,2,0.4246723845406877,on perennial
5668502,5666702,55556,134.90042114257812,59.76541519165039,158874.075136,0,28,7866,2,0.11714169450209448,on perennial
5178925,5180725,55556,107.85208129882812,57.49958419799805,88815.640576,0,303,4588,2,0.4254695049954346,on perennial
5330146,5328346,55556,116.08291625976562,55.362083435058594,96078.839808,0,562,5585,2,0.34131853612847185,on perennial
5429106,5429107,55556,121.67041778564453,59.25041580200195,111253.495808,0,90,6263,0,0.4272152642572075,near water
5569514,5571314,55556,129.4995880126953,58.530418395996094,109654.974464,0,178,7212,2,0.39582956741559056,on perennial
5666702,5664901,55556,134.7862548828125,59.82791519165039,163626.483712,0,20,7852,2,0.3727077902340095,on perennial
5180725,5180724,55556,107.8879165649414,57.5120849609375,89621.25824,0,301,4592,2,0.06132647333817694,on perennial
5328346,5326546,55556,116.00041961669922,55.360416412353516,96304.463872,0,562,5575,2,0.19818453551679005,on perennial
5429107,5427307,55556,121.58208465576172,59.283748626708984,111318.540288,0,86,6252,2,0.29795705880463275,on perennial
5571314,5573115,55556,129.6145782470703,58.50041580200195,110096.637952,0,181,7226,2,0.3400270559557314,on perennial
5664901,5664900,55556,134.77207946777344,59.89791488647461,163774.464,0,12,7851,1,0.19410618397895912,on intermittent
5180724,5178924,55556,107.85958099365234,57.59958267211914,89694.871552,0,290,4589,0,0.49829933079451966,near water
5326546,5326545,55556,115.91542053222656,55.39958190917969,138492.64128,0,557,5565,2,0.11602219287205075,on perennial
5427307,5425507,55556,121.50041961669922,59.28708267211914,111583.281152,0,86,6242,2,0.07954944502243626,on perennial
5573115,5574915,55556,129.6995849609375,58.466251373291016,110203.895808,0,185,7236,2,0.385672741287957,on perennial
5664900,5666700,55556,134.81707763671875,59.957916259765625,163935.158272,0,5,7856,2,0.36979461802893293,on perennial
5178924,5177124,55556,107.69708251953125,57.55458450317383,89764.143104,0,296,4569,2,0.11031438413293077,on perennial
5326545,5324744,55556,115.9004135131836,55.47624969482422,138657.775616,0,548,5563,2,0.1810161437817529,on perennial
5425507,5423706,55556,121.37374877929688,59.303749084472656,111655.288832,0,84,6227,2,0.20233125346738653,on perennial
5574915,5576715,55556,129.79959106445312,58.4779167175293,110305.370112,0,184,7248,2,0.03138549223002467,on perennial
5666700,5666699,55556,134.81707763671875,59.99958419799805,167960.936448,0,0,7856,1,0.41583184125914374,on intermittent
5177124,5178923,55556,107.68541717529297,57.59958267211914,90212.155392,0,290,4567,2,0.4715488641790196,on perennial
5324744,5326544,55556,115.90374755859375,55.568748474121094,138795.008,0,537,5564,2,0.4070893069279593,on perennial
5423706,5421907,55556,121.25875091552734,59.28125,111745.425408,0,87,6213,2,0.3781055498271114,on perennial
5576715,5578514,55556,129.9495849609375,58.53791809082031,110860.115968,0,177,7266,2,0.2609964192791295,on perennial
5178923,5180723,55556,107.7995834350586,57.657081604003906,90472.89856,0,283,4581,2,0.46840446261499896,on perennial
5326544,5326543,55556,115.9004135131836,55.58791732788086,138859.855872,0,534,5563,1,0.28987802309502464,on intermittent
5421907,5420107,55556,121.2004165649414,59.251251220703125,111908.282368,0,90,6206,2,0.2983915712014097,on perennial
5578514,5580314,55556,129.9995880126953,58.56208419799805,111287.123968,0,174,7272,2,0.20813574298891763,on perennial
5180723,5182523,55556,107.91374969482422,57.66291809082031,90562.420736,0,283,4595,2,0.20605895281463626,on perennial
5326543,5324743,55556,115.90791320800781,55.65041732788086,138945.642496,0,527,5564,2,0.25964876311891133,on perennial
5420107,5418307,55556,121.10041809082031,59.22041702270508,111977.971712,0,94,6193,2,0.2301100042825952,on perennial
5580314,5580313,55556,130.04124450683594,58.59958267211914,111358.93504,0,169,7277,2,0.25160100099416455,on perennial
5182523,5184323,55556,107.99958038330078,57.65625,90611.826688,0,284,4606,2,0.4457987024112529,on perennial
5324743,5324742,55556,115.8379135131836,55.6995849609375,139648.401408,0,521,5556,0,0.3836445669772559,near water
5418307,5416507,55556,121.00041961669922,59.25541687011719,113432.436736,0,90,6181,2,0.2854899180226129,on perennial
5580313,5582113,55556,130.09957885742188,58.64041519165039,113818.877952,0,164,7284,2,0.3081786363817984,on perennial
5184323,5182522,55556,108.04541778564453,57.70708465576172,90646.593536,0,277,4611,2,0.39498706781607146,on perennial
5324742,5324741,55556,115.83125305175781,55.799583435058594,144005.251072,0,509,5555,0,0.5290031794059117,near water
5416507,5418306,55556,121.03791809082031,59.30791473388672,113477.820416,0,83,6186,2,0.35921329004883096,on perennial
5582113,5583913,55556,130.2445831298828,58.62041473388672,113871.003648,0,167,7302,2,0.2616563401968442,on perennial
5182522,5184322,55556,108.00958251953125,57.76958465576172,90805.420032,0,270,4607,2,0.1912478109671756,on perennial
5324741,5326540,55556,115.89624786376953,55.89958190917969,144253.042688,0,497,5563,0,0.5625631870772249,near water
5418306,5420106,55556,121.0995864868164,59.3154182434082,114137.94816,0,82,6193,2,0.47621450402496585,on perennial
5583913,5585713,55556,130.33541870117188,58.604583740234375,114175.42656,0,169,7313,2,0.3336286725264305,on perennial
5184322,5186122,55556,108.10458374023438,57.76791763305664,90889.4208,0,270,4618,2,0.12680903239666222,on perennial
5326540,5324740,55556,115.89291381835938,55.936248779296875,144609.820672,0,492,5562,2,0.1586490646318077,on perennial
