basin_id,edge_count,good_edges,uncertain_edges,poor_edges,mean_segment_water_ratio,median_src_distance_km,median_dst_distance_km,same_component_edges,component_on_segment_edges,max_upstream_area_km2,good_edge_ratio,poor_edge_ratio,same_component_ratio,component_on_segment_ratio
53221,16,16,0,0,0.3764102166725053,0.4185736011816077,0.4185736011816077,16,16,28041.228288,1.0,0.0,1.0,1.0
50031,16,16,0,0,0.3940672299563104,0.39635756686698426,0.39635756686698426,16,16,27238.31808,1.0,0.0,1.0,1.0
49153,15,15,0,0,0.837083673277697,0.3062926787648858,0.3051966879756868,15,15,29585.207296,1.0,0.0,1.0,1.0
48817,15,14,1,0,0.37173498936186866,0.4024424528725683,0.3960468753830871,15,15,17891.459072,0.9333333333333333,0.0,1.0,1.0
50434,14,0,1,13,0.02460360852925095,36.119727737878826,36.119727737878826,13,2,28592.10752,0.0,0.9285714285714286,0.9285714285714286,0.14285714285714285
54639,14,14,0,0,0.6145777928317857,0.3207831025701965,0.29865809445229835,14,14,20243.007488,1.0,0.0,1.0,1.0
49048,13,10,3,0,0.5095194202990553,0.2563687732617142,0.3156311806252779,8,13,32253.472768,0.7692307692307693,0.0,0.6153846153846154,1.0
49677,13,2,1,10,0.08250595092010146,15.353101039833096,15.353101039833096,9,4,30546.049024,0.15384615384615385,0.7692307692307693,0.6923076923076923,0.3076923076923077
56096,12,10,2,0,0.3675635203107321,0.38279244819764235,0.36240668429937084,11,12,16283.131904,0.8333333333333334,0.0,0.9166666666666666,1.0
46907,12,4,7,1,0.17255511779122623,0.8053180797767401,0.7471403033422785,3,12,13417.468928,0.3333333333333333,0.08333333333333333,0.25,1.0
47703,11,0,3,8,0.019203091075107,9.22621122778579,4.398452267939893,7,4,35545.665536,0.0,0.7272727272727273,0.6363636363636364,0.36363636363636365
46680,11,5,3,3,0.23401693889897154,0.5089686320742555,0.3568179293386798,3,9,13235.294208,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.8181818181818182
46959,10,7,3,0,0.23953934934625476,0.7647195587214037,0.7647195587214037,1,10,17743.798272,0.7,0.0,0.1,1.0
47892,10,10,0,0,0.466175250702344,0.2946972546329826,0.2267994533306555,10,10,14705.677312,1.0,0.0,1.0,1.0
46756,10,3,5,2,0.2893831010473267,1.2120582289666337,0.488867892039781,4,8,12616.177664,0.3,0.2,0.4,0.8
48934,9,0,0,9,0.0,39.20147841971839,39.20147841971839,8,0,17486.557184,0.0,1.0,0.8888888888888888,0.0
48113,9,3,1,5,0.19204410681350292,1.6711892240275348,1.6711892240275348,5,6,14129.224704,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.6666666666666666
50658,9,9,0,0,0.4121960692160176,0.4030634398891408,0.4030634398891408,8,9,13289.975808,1.0,0.0,0.8888888888888888,1.0
49878,7,4,1,2,0.34526447055248904,4.031625873393498,0.4186572586722435,6,5,39496.892416,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.7142857142857143
47791,7,1,1,5,0.1892843390725562,6.494402954737312,6.494402954737312,3,3,24638.490624,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.42857142857142855
47717,7,7,0,0,0.9025054932090664,0.2039072048203717,0.2446759520690182,7,7,23764.461568,1.0,0.0,1.0,1.0
52826,7,7,0,0,0.40023873454047215,0.3953703730281236,0.2424060457160906,7,7,17793.447936,1.0,0.0,1.0,1.0
50153,6,0,0,6,0.0,91.48380572579157,93.85955364484275,5,0,30153.865216,0.0,1.0,0.8333333333333334,0.0
46797,6,6,0,0,1.0,0.28641507144560585,0.28641507144560585,6,6,21873.164288,1.0,0.0,1.0,1.0
47243,5,4,0,1,0.7366472716077889,0.4184487242321079,0.4184487242321079,4,5,17183.36512,0.8,0.2,0.8,1.0
48176,4,2,1,1,0.4468703148425787,2.634606575291894,0.4166434445091197,1,3,20141.283328,0.5,0.25,0.25,0.75
51193,3,0,0,3,0.0,8.602284584896525,6.653676096927423,2,0,18232.90368,0.0,1.0,0.6666666666666666,0.0
49299,2,0,1,1,0.0568181818181818,6.394488900086014,1.1961662964670094,1,1,23893.608448,0.0,0.5,0.5,0.5
47741,2,2,0,0,1.0,0.29221996694724395,0.4142804067689704,2,2,13544.997888,1.0,0.0,1.0,1.0
50892,2,0,1,1,0.06894090779331995,3.331357036532014,0.5213486123920504,0,2,12806.8352,0.0,0.5,0.0,1.0
47181,2,2,0,0,0.9816425120772947,0.28205902627033635,0.34968601200624455,2,2,12454.243328,1.0,0.0,1.0,1.0
57826,2,1,1,0,0.2080971659919028,0.46713390135066846,0.5159684718279233,2,2,11528.6272,0.5,0.0,1.0,1.0
57551,2,2,0,0,0.34388185654008435,0.35185138297695345,0.37278573373491014,2,2,10593.51552,1.0,0.0,1.0,1.0
47322,1,1,0,0,1.0,0.4230879959699981,0.408007273281146,1,1,18885.300224,1.0,0.0,1.0,1.0
48284,1,1,0,0,0.5227272727272727,0.138557863055055,0.4714090158273393,1,1,18758.578176,1.0,0.0,1.0,1.0
48520,1,1,0,0,1.0,0.3990704485257495,0.4802670151563424,1,1,14133.981184,1.0,0.0,1.0,1.0
52031,1,1,0,0,0.5555555555555556,0.412728470636713,0.3569576569522446,1,1,13713.741824,1.0,0.0,1.0,1.0
50767,1,0,0,1,0.0,4.991453931883688,5.441861698253235,1,0,13522.743296,0.0,1.0,1.0,0.0
50584,1,0,0,1,0.0,26.75629880405552,26.54668866127792,1,0,12765.1328,0.0,1.0,1.0,0.0
47755,1,1,0,0,1.0,0.4770817166638332,0.1450749355619631,1,1,10647.591936,1.0,0.0,1.0,1.0
47248,1,1,0,0,0.2662337662337662,0.2680700541502603,0.4155862676362307,1,1,10605.309952,1.0,0.0,1.0,1.0
