catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,hyriv_id,distance_m,nearest_distance_m,second_distance_m,downstream_support,upstream_support,match_status
5449082,5447285,53394,122.6937484741211,41.63041687011719,177497.341952,40303421.0,694.2765077418005,694.2765077418005,889.0162143206231,1,1,candidate
5449086,5447287,53394,122.69708251953124,41.299583435058594,12021.18144,40312612.0,167.20784577527832,167.20784577527832,3672.231950899386,1,0,candidate
5449087,5447288,53394,122.72708129882812,41.200416564941406,10100.6592,40317205.0,349.66988965797105,349.66988965797105,395.6396903107388,1,0,ambiguous
5450743,5448943,55556,122.8004150390625,55.66875076293945,16386.521088,,,,,0,0,no_candidate
5450744,5450743,55556,122.87708282470705,55.60541534423828,16195.048448,,,,,0,0,no_candidate
5450765,5452565,53394,122.89958190917967,53.46541595458984,384303.071232,40013990.0,92.66658689629321,92.66658689629321,1760.1491452340629,1,1,candidate
5450766,5452566,53394,122.95458221435548,53.32791519165039,12348.8768,40013990.0,15291.76805571689,15291.76805571689,16241.087780201125,1,1,ambiguous
5450825,5452625,53394,122.9045867919922,47.45291519165039,13552.72192,40113541.0,503.0001814977841,503.0001814977841,749.5822641291453,1,0,candidate
5450832,5452631,53394,122.9312515258789,46.786251068115234,15323.133952,,,,,0,0,no_candidate
5450849,5452649,53394,122.9504165649414,45.069583892822266,13085.753344,,,,,0,0,no_candidate
5450858,5452658,53394,122.89958190917967,44.1370849609375,36657.483776,,,,,0,0,no_candidate
5450861,5452662,53394,122.94791412353516,43.79458236694336,62581.854208,40229483.0,4405.48176264982,4405.48176264982,6900.684100895177,1,1,candidate
5450862,5452663,53394,122.89958190917967,43.716251373291016,18011.666432,40231438.0,9180.825255434007,9180.825255434007,9674.410796543254,1,1,topology_resolved
5450863,5450862,53394,122.88958740234376,43.69791793823242,17729.80224,40231438.0,10582.092265858793,10582.092265858793,11417.604171645047,1,0,ambiguous
5450880,5452680,53394,122.89958190917967,41.94791793823242,171559.944192,40292617.0,166.12518186255704,166.12518186255704,935.704395388687,1,1,candidate
5450881,5449082,53394,122.8004150390625,41.82791519165039,177402.445824,40295476.0,92.39444937727956,92.39444937727956,610.0378706585193,1,1,candidate
5452544,5450744,55556,122.89791870117188,55.55708312988281,16096.39424,,,,,0,0,no_candidate
5452565,5454364,53394,123.04624938964844,53.50374984741211,384425.885696,40013534.0,185.47587661378236,185.47587661378236,248.8093915324332,1,1,candidate
5452566,5454366,53394,122.99958038330078,53.306251525878906,12432.55808,40013990.0,18546.505702247974,18546.505702247974,19165.61858457594,0,1,ambiguous
5452625,5452626,53394,122.95291900634766,47.40041732788086,13619.625984,40114995.0,468.56227783395326,468.56227783395326,1230.4777410326049,1,1,candidate
5452626,5454426,53394,123.02041625976562,47.3245849609375,13724.97408,40116618.0,185.47620957923678,185.47620957923678,264.82006682118765,1,1,candidate
5452631,5452632,53394,122.9887466430664,46.76041793823242,15505.1776,,,,,0,0,no_candidate
5452632,5454432,53394,122.99958038330078,46.73041534423828,15670.452224,,,,,0,0,no_candidate
5452646,5454446,53394,122.99958038330078,45.35874938964844,28555.32544,40174988.0,53.50798361555966,53.50798361555966,1068.2786153253178,1,1,candidate
5452649,5454449,53394,122.99958038330078,45.08625030517578,13179.855872,,,,,0,0,no_candidate
5452658,5454459,53394,122.99958038330078,44.112083435058594,36825.632768,,,,,0,0,no_candidate
5452662,5454462,53394,122.99958038330078,43.76708221435547,62707.9168,40229483.0,0.28648937168463773,0.28648937168463773,1881.139000817914,1,1,candidate
5452663,5454463,53394,123.01625061035156,43.70291519165039,18074.554368,40231438.0,2231.406882920037,2231.406882920037,5483.106450423734,1,1,candidate
5452679,5450880,53394,122.89875030517578,41.963748931884766,171421.827072,40291195.0,461.8843697959236,461.8843697959236,835.7874337013974,1,1,candidate
5452680,5450881,53394,122.9004135131836,41.91291809082031,171787.894784,40294058.0,0.29125379154464515,0.29125379154464515,231.0885013548901,1,1,candidate
5454344,5452544,55556,122.99708557128906,55.52541732788086,14987.15136,,,,,0,0,no_candidate
5454345,5454344,55556,123.07875061035156,55.49958419799805,14894.881792,,,,,0,0,no_candidate
5454364,5456165,53394,123.11042022705078,53.50208282470703,384539.492352,40013568.0,0.056607824871266275,0.056607824871266275,721.8737610210842,1,1,candidate
5454366,5456166,53394,123.11458587646484,53.29375076293945,12499.090432,,,,,0,0,no_candidate
5454426,5454427,53394,123.069580078125,47.3004150390625,13796.451328,40118923.0,729.2513324274421,729.2513324274421,2276.146929669864,1,1,candidate
5454427,5454428,53394,123.10874938964844,47.22624969482422,13848.982528,40119168.0,126.27013026111617,126.27013026111617,156.63165196534655,1,1,ambiguous
5454428,5456228,53394,123.10541534423828,47.14624786376953,13905.913856,40121617.0,196.03045967880297,196.03045967880297,696.2340835392364,1,1,candidate
5454432,5456232,53394,123.16958618164062,46.75291442871094,15732.342784,,,,,0,0,no_candidate
5454445,5456245,53394,123.1362533569336,45.450416564941406,28638.332928,40172032.0,372.9207787867265,372.9207787867265,743.8110874518375,1,1,candidate
5454446,5454445,53394,123.08374786376952,45.39958190917969,28597.639168,40173811.0,195.5749312421494,195.5749312421494,752.5183715930059,1,1,candidate
5454449,5456248,53394,123.07708740234376,45.10958480834961,13245.039616,,,,,0,0,no_candidate
5454459,5456259,53394,123.12958526611328,44.04624938964844,43375.898624,,,,,0,0,no_candidate
5454462,5458063,53394,123.1545867919922,43.69374847412109,63051.063296,40232305.0,463.11247130816133,463.11247130816133,505.1760030029882,1,1,ambiguous
5454463,5458063,53394,123.16958618164062,43.664581298828125,18298.703872,40232305.0,2330.460517668401,2330.460517668401,2465.435268970625,1,1,ambiguous
5454478,5454479,53394,123.04208374023438,42.10041809082031,169345.368064,40287923.0,552.9363593499135,552.9363593499135,847.5879405790893,1,1,candidate
5454479,5452679,53394,122.98291778564452,42.07624816894531,169382.05184,40287923.0,55.246479867762254,55.246479867762254,166.2907109231104,1,1,candidate
5456145,5454345,55556,123.0945816040039,55.46208190917969,11980.570624,,,,,0,0,no_candidate
5456146,5456145,55556,123.18708038330078,55.39958190917969,11883.715584,,,,,0,0,no_candidate
5456164,5457964,53394,123.22291564941406,53.54875183105469,384760.05376,40013180.0,92.9509529640051,92.9509529640051,1160.3234570088234,1,1,candidate
5456165,5456164,53394,123.14707946777344,53.49958419799805,384701.530112,40013568.0,185.5889623190807,185.5889623190807,380.4052230396653,1,1,candidate
5456166,5457967,53394,123.2379150390625,53.29291534423828,13219.07712,,,,,0,0,no_candidate
5456228,5456229,53394,123.15958404541016,47.10041809082031,14417.743872,40122595.0,104.61857131436996,104.61857131436996,1248.8995186817563,1,1,candidate
5456229,5458029,53394,123.24958038330078,47.0412483215332,14619.679744,40123653.0,52.57552247265113,52.57552247265113,305.50656034213876,1,1,candidate
5456232,5458031,53394,123.26958465576172,46.85874938964844,16248.244224,40125577.0,14934.5916350589,14934.5916350589,15169.516475090804,1,0,ambiguous
5456244,5458044,53394,123.2312469482422,45.57208251953125,28743.108608,40168743.0,92.7095862175723,92.7095862175723,4299.677313619023,1,1,candidate
